id, name, study, specialization, albumnumber, address, region, city, street, houseNumber, birthdate, birthplace, pesel, sex, idList
ohorjtoqmhp,Radzimir Kowalski,Informatyka,124877,Arciszewskiego,88A/3,Małopolska,Kraków,Date.UTC(2000,8,18),Poznań,97625415141,male,"[bphr84ng8wd, p914ow3xg7h, ughwesp30mh, p0cjy9zdlvh, 0pno4ur7dqn, 3iqe6u5p52g, r9ub7j4sgaa, 6evewvpint6, g8td7v9kf9r, c5n0aykierh]"
t6f6ij97cf7,Herbert Nowak,Informatyka,129284,Armii krajowej,79A/1,Małopolska,Kraków,Date.UTC(1998,9,10),Kraków,99320018151,male,"[6evewvpint6, c5n0aykierh, p914ow3xg7h, 2hpmoxinkkx, m9bvqenaj9h, 0pno4ur7dqn, g2tp2yhflgs, cr68e4v2r5u, bphr84ng8wd, g8td7v9kf9r]"
cklc4etpgxr,Radek Kazimierski,Informatyka,128241,Badurskiego,351,Małopolska,Kraków,Date.UTC(1998,9,18),Kraków,991227313151,male,"[jcn6pdcr0us, at21slxhzss, 8bci3xrqzmg, 27fyonkpddy, 8bci3xrqzmg, kshykd8w2tn, g2tp2yhflgs, cr68e4v2r5u, c5n0aykierh, 9ls7ofi0zwe]"
cn0yorom7mj,Alfred Duda,Informatyka,128539,Bałuckiego,37,Małopolska,Kraków,Date.UTC(1997,4,25),Szczecin,99517214151,male,"[27fyonkpddy, x48b7et9hch, 7jbxvvahy16, kshykd8w2tn, m9bvqenaj9h, kshykd8w2tn, np6v7m21x6h, c5n0aykierh, 8bci3xrqzmg, r9ub7j4sgaa]"
nthjjnz07nn,Alojzy Paluch,Informatyka,128188,Barska,18,Małopolska,Kraków,Date.UTC(2000,2,25),Wrocław,98924612141,male,"[r9ub7j4sgaa, oe4qjbzmtwh, oe4qjbzmtwh, 7mjpquqjpuu, kshykd8w2tn, at21slxhzss, 9ls7ofi0zwe, np6v7m21x6h, r9ub7j4sgaa, zyjqo0rp209]"
c4uxwep6klw,Aureliusz Kałuża,Informatyka,122069,Batalionuzośka,38/3,Małopolska,Kraków,Date.UTC(1997,11,16),Kraków,99421110141,male,"[cr68e4v2r5u, at21slxhzss, bphr84ng8wd, r9ub7j4sgaa, c5n0aykierh, 5mjr4ho2enx, bphr84ng8wd, 3iqe6u5p52g, c5n0aykierh, p914ow3xg7h]"
huyg4mi047o,Gaweł Wilk,Informatyka,126488,Bernardyński,59,Małopolska,Kraków,Date.UTC(2000,8,12),Kraków,99620217131,male,"[wspg90qdsyb, tnxst8pmuoh, 0pno4ur7dqn, ughwesp30mh, nzsysebzoch, oe4qjbzmtwh, 767vpeva8w4, g2tp2yhflgs, tnxst8pmuoh, 27fyonkpddy]"
nkfc2vn0vys,Klaudiusz Bańka,Informatyka,124687,Białoruska,72,Małopolska,Kraków,Date.UTC(1999,1,18),Kraków,981212015171,male,"[7jbxvvahy16, p0cjy9zdlvh, nzsysebzoch, jyhpgiz87ls, bv9v20fmgzi, 19q0yc0lmug, 767vpeva8w4, g2tp2yhflgs, 19q0yc0lmug, 3iqe6u5p52g]"
c0tpzfpivem,Dionizy Posłyszny,Informatyka,122866,Błotna,78,Małopolska,Kraków,Date.UTC(2000,7,26),Szczecin,971025514151,male,"[3iqe6u5p52g, 7jbxvvahy16, 8bci3xrqzmg, nzsysebzoch, bv9v20fmgzi, zyjqo0rp209, 6evewvpint6, nryleektjue, 6evewvpint6, g8td7v9kf9r]"
pm2bgmrzw8v,Xawery Garguła,Informatyka,128500,Cieślewskiego,48,Małopolska,Kraków,Date.UTC(1997,6,26),Wrocław,97719418161,male,"[c5n0aykierh, m9bvqenaj9h, 2hpmoxinkkx, nryleektjue, g8td7v9kf9r, 8yr2leheav7, g8td7v9kf9r, cr68e4v2r5u, jcn6pdcr0us, p0cjy9zdlvh]"
2nwxznupi6h,Lesław Policht,Informatyka,125095,Cogito,14,Małopolska,Kraków,Date.UTC(1997,5,12),Poznań,971122118151,male,"[3iqe6u5p52g, ughwesp30mh, 2hpmoxinkkx, ughwesp30mh, nryleektjue, kshykd8w2tn, wspg90qdsyb, tfeglgqst6a, 7jbxvvahy16, p0cjy9zdlvh]"
n5sxsmghsdm,Janek Wiącek,Informatyka,129885,Cystersów,75,Małopolska,Kraków,Date.UTC(1998,4,19),Poznań,99415711131,male,"[0pno4ur7dqn, 8yr2leheav7, p0cjy9zdlvh, wspg90qdsyb, 3iqe6u5p52g, 8bci3xrqzmg, lziwuzpyn8f, tfeglgqst6a, kshykd8w2tn, 8yr2leheav7]"
kn7ee5m1im8,Wojtek Wawrzyczek,Informatyka,128757,Czaplickiego,5,Małopolska,Kraków,Date.UTC(2000,8,23),Szczecin,99526113151,male,"[jcn6pdcr0us, nzsysebzoch, 3iqe6u5p52g, at21slxhzss, c5n0aykierh, 9ls7ofi0zwe, wspg90qdsyb, m9bvqenaj9h, nzsysebzoch, zyjqo0rp209]"
qfje01zpjpt,Zdzisław Wawrzonek,Informatyka,123121,Czartoryskich,88,Małopolska,Kraków,Date.UTC(1997,4,10),Kraków,981013810151,male,"[8yr2leheav7, nzsysebzoch, 9ls7ofi0zwe, np6v7m21x6h, 6evewvpint6, m9bvqenaj9h, c576tt55vq8, bv9v20fmgzi, c576tt55vq8, 2hpmoxinkkx]"
g8uyksaa10i,Janusz Łagoda,Informatyka,129721,Gruszczyńskiego,77,Małopolska,Kraków,Date.UTC(1998,2,25),Szczecin,97514014111,male,"[bv9v20fmgzi, np6v7m21x6h, wspg90qdsyb, 7jbxvvahy16, c576tt55vq8, bv9v20fmgzi, ughwesp30mh, p914ow3xg7h, 51pxajgwqgv, 27fyonkpddy]"
q22lamg8bch,Włodzimierz Skowroński,Informatyka,129727,Grzegórzecka,343,Małopolska,Kraków,Date.UTC(1997,11,26),Poznań,97717216131,male,"[zyjqo0rp209, 7jbxvvahy16, p0cjy9zdlvh, ughwesp30mh, at21slxhzss, 8jbn8wmpqej, nzsysebzoch, 6evewvpint6, lziwuzpyn8f, r9ub7j4sgaa]"
k83pjjkfivh,Antek Bąba,Informatyka,124140,Grzybki,95,Małopolska,Kraków,Date.UTC(2000,6,25),Poznań,99916112171,male,"[6evewvpint6, 8jbn8wmpqej, x48b7et9hch, 27fyonkpddy, lziwuzpyn8f, ughwesp30mh, g8td7v9kf9r, x48b7et9hch, 8jbn8wmpqej, 8jbn8wmpqej]"
3nuqrpc5q7l,Waldemar Nowak,Informatyka,121683,Hutnika,57A,Małopolska,Kraków,Date.UTC(1998,5,23),Poznań,99424110131,male,"[jcn6pdcr0us, r9ub7j4sgaa, x48b7et9hch, ughwesp30mh, 6evewvpint6, 51pxajgwqgv, 3iqe6u5p52g, p0cjy9zdlvh, nzsysebzoch, nzsysebzoch]"
jwooff2eu48,Marian Paluch,Informatyka,120752,Hypty,79B/4,Małopolska,Kraków,Date.UTC(1997,12,19),Gdańsk,97710715141,male,"[c5n0aykierh, 19q0yc0lmug, c5n0aykierh, 8bci3xrqzmg, g2tp2yhflgs, x48b7et9hch, x48b7et9hch, 3iqe6u5p52g, 27fyonkpddy, 27fyonkpddy]"
k82rdo3w10e,Ireneusz Filipiak,Informatyka,128997,Hollendra,40,Małopolska,Kraków,Date.UTC(2000,7,22),Wrocław,991126713131,male,"[p0cjy9zdlvh, jcn6pdcr0us, cr68e4v2r5u, h2fusid77wg, g8td7v9kf9r, 767vpeva8w4, ughwesp30mh, x48b7et9hch, nzsysebzoch, 51pxajgwqgv]"
00utwdt2u7p,Lenka Nieznanowski,Informatyka,124648,Jaskra,72,Małopolska,Kraków,Date.UTC(1999,5,25),Poznań,97816411121,female,"[767vpeva8w4, 7jbxvvahy16, 2hpmoxinkkx, tnxst8pmuoh, 9ls7ofi0zwe, jyhpgiz87ls, 7mjpquqjpuu, 27fyonkpddy, p914ow3xg7h, 8yr2leheav7]"
hwl8sxluagl,Żaklina Salamon,Informatyka,123512,Jasna,80,Małopolska,Kraków,Date.UTC(1999,3,22),Opole,99526710101,female,"[jcn6pdcr0us, 19q0yc0lmug, 51pxajgwqgv, 27fyonkpddy, 27fyonkpddy, ughwesp30mh, r9ub7j4sgaa, 9ls7ofi0zwe, r9ub7j4sgaa, 8yr2leheav7]"
2fkrp6wzwfr,Wirginia Sawuła,Informatyka,123264,Jasnogórska,0,Małopolska,Kraków,Date.UTC(1999,1,27),Opole,98310212101,female,"[lziwuzpyn8f, h2fusid77wg, cr68e4v2r5u, zyjqo0rp209, 3iqe6u5p52g, at21slxhzss, c5n0aykierh, 27fyonkpddy, bv9v20fmgzi, lziwuzpyn8f]"
qyk320dztda,Rebeka Frączek,Informatyka,128326,Kamieńskiego,70,Małopolska,Kraków,Date.UTC(2000,12,24),Szczecin,98812810131,female,"[nzsysebzoch, tfeglgqst6a, 9ls7ofi0zwe, kshykd8w2tn, 767vpeva8w4, c5n0aykierh, 3iqe6u5p52g, i2esledtl2b, bv9v20fmgzi, 3iqe6u5p52g]"
msclxatfrrc,Mirosława Fitał,Informatyka,123621,Kamionka,64,Małopolska,Kraków,Date.UTC(1998,12,25),Kraków,97427717131,female,"[27fyonkpddy, c576tt55vq8, 19q0yc0lmug, p0cjy9zdlvh, oe4qjbzmtwh, nzsysebzoch, x48b7et9hch, 3iqe6u5p52g, 9ls7ofi0zwe, p914ow3xg7h]"
o3xs8de39rl,Bernadetta Jackowski,Informatyka,121198,Karłowicza,3/1,Małopolska,Kraków,Date.UTC(2000,5,11),Wrocław,971113317121,female,"[3iqe6u5p52g, 6evewvpint6, p914ow3xg7h, i2esledtl2b, g2tp2yhflgs, p914ow3xg7h, 767vpeva8w4, cr68e4v2r5u, nryleektjue, 27fyonkpddy]"
qb03eegj0jc,Bogdana Olchawski,Informatyka,123219,Karowa,626,Małopolska,Kraków,Date.UTC(1997,3,11),Wrocław,99722216171,female,"[19q0yc0lmug, jcn6pdcr0us, np6v7m21x6h, lziwuzpyn8f, cr68e4v2r5u, 2hpmoxinkkx, x48b7et9hch, 6evewvpint6, h2fusid77wg, at21slxhzss]"
o7j3odrwzvt,Honorata Reguła,Informatyka,123552,Kasprzyckiego,28,Małopolska,Kraków,Date.UTC(1997,9,13),Kraków,98527310141,female,"[r9ub7j4sgaa, wspg90qdsyb, c576tt55vq8, kshykd8w2tn, kshykd8w2tn, 7mjpquqjpuu, 8jbn8wmpqej, 19q0yc0lmug, np6v7m21x6h, 8bci3xrqzmg]"
r6lzmpfidkj,Melodia Dusik,Informatyka,128324,Kłaka,75,Małopolska,Kraków,Date.UTC(1999,6,16),Poznań,97912314101,female,"[6evewvpint6, zyjqo0rp209, 2hpmoxinkkx, nzsysebzoch, 6evewvpint6, i2esledtl2b, 7mjpquqjpuu, jyhpgiz87ls, i2esledtl2b, 7mjpquqjpuu]"
d6qxe29v8tm,Maryna Dźwigoń,Informatyka,125591,Kmicica,4,Małopolska,Kraków,Date.UTC(1998,8,17),Poznań,97417017131,female,"[3iqe6u5p52g, tfeglgqst6a, oe4qjbzmtwh, c576tt55vq8, at21slxhzss, 51pxajgwqgv, cr68e4v2r5u, 8yr2leheav7, 7jbxvvahy16, np6v7m21x6h]"
ngcgneasg89,Żaneta Pycińska,Informatyka,124360,Kolna,97,Małopolska,Kraków,Date.UTC(1998,6,22),Wrocław,98918513121,female,"[767vpeva8w4, np6v7m21x6h, p914ow3xg7h, 5mjr4ho2enx, c5n0aykierh, wspg90qdsyb, ughwesp30mh, p914ow3xg7h, i2esledtl2b, 8jbn8wmpqej]"
qch7gttvlfs,Marzena Boczar,Informatyka,126987,Kołaczy,7,Małopolska,Kraków,Date.UTC(2000,6,27),Poznań,98713115131,female,"[g2tp2yhflgs, 7mjpquqjpuu, p0cjy9zdlvh, c5n0aykierh, g8td7v9kf9r, r9ub7j4sgaa, wspg90qdsyb, tfeglgqst6a, p0cjy9zdlvh, 9ls7ofi0zwe]"
ohkwz06k53e,Grażyna Ciborowski,Informatyka,125671,Korzeniaka,77S,Małopolska,Kraków,Date.UTC(1998,1,12),Poznań,99810618151,female,"[767vpeva8w4, p914ow3xg7h, 7mjpquqjpuu, at21slxhzss, m9bvqenaj9h, 2hpmoxinkkx, 8yr2leheav7, 767vpeva8w4, g2tp2yhflgs, h2fusid77wg]"
nksunnadli4,Bożena Smulski,Informatyka,122632,Koszarówka,96,Małopolska,Kraków,Date.UTC(1998,4,13),Gdańsk,97816017181,female,"[zyjqo0rp209, 2hpmoxinkkx, kshykd8w2tn, c5n0aykierh, 8yr2leheav7, r9ub7j4sgaa, wspg90qdsyb, m9bvqenaj9h, bphr84ng8wd, 3iqe6u5p52g]"
j3zx6dosmha,Renata Pałka,Informatyka,124941,Kraka,59,Małopolska,Kraków,Date.UTC(1997,1,20),Poznań,99818313161,female,"[at21slxhzss, oe4qjbzmtwh, wspg90qdsyb, c5n0aykierh, c576tt55vq8, g2tp2yhflgs, i2esledtl2b, 0pno4ur7dqn, wspg90qdsyb, 8bci3xrqzmg]"
ip9h98rwh2r,Wioletta Pyryt,Informatyka,125991,Liliowa,43,Małopolska,Kraków,Date.UTC(1999,12,15),Szczecin,98611211111,female,"[2hpmoxinkkx, tnxst8pmuoh, 0pno4ur7dqn, h2fusid77wg, oe4qjbzmtwh, r9ub7j4sgaa, m9bvqenaj9h, 6evewvpint6, nzsysebzoch, g2tp2yhflgs]"
j83pkq9v2hh,Jolanta Kaczyński,Informatyka,123190,Liryczna,41,Małopolska,Kraków,Date.UTC(1997,5,14),Poznań,99520012161,female,"[8jbn8wmpqej, h2fusid77wg, c576tt55vq8, 8yr2leheav7, x48b7et9hch, g8td7v9kf9r, ughwesp30mh, 7mjpquqjpuu, jyhpgiz87ls, 9ls7ofi0zwe]"
rp8hn7lgfjl,Ilona Panek,Informatyka,125180,Lipowa,219,Małopolska,Kraków,Date.UTC(2000,7,13),Kraków,99321317161,female,"[x48b7et9hch, bphr84ng8wd, tnxst8pmuoh, np6v7m21x6h, 3iqe6u5p52g, g8td7v9kf9r, g8td7v9kf9r, 2hpmoxinkkx, nzsysebzoch, kshykd8w2tn]"
6ku6vcg7uja,Marcela Jabłońska,Informatyka,123622,Michałowskiego,88/2,Małopolska,Kraków,Date.UTC(2000,11,17),Opole,97119013171,female,"[np6v7m21x6h, np6v7m21x6h, p0cjy9zdlvh, at21slxhzss, jyhpgiz87ls, 27fyonkpddy, 7mjpquqjpuu, 3iqe6u5p52g, g2tp2yhflgs, bv9v20fmgzi]"
